case:concept:name,concept:name,time:timestamp,a,b,i,n,result,temp
case_3,T_CheckLoop,2026-02-09T12:24:00.000Z,,,,,,
case_3,T_CalcTemp,2026-02-09T12:25:00.000Z,,,,,,2
case_3,T_SetA,2026-02-09T12:26:00.000Z,,,,,,
case_3,T_SetB,2026-02-09T12:27:00.000Z,,2,,,,
case_3,T_IncI,2026-02-09T12:28:00.000Z,,,3,,,
case_3,T_CheckLoop,2026-02-09T12:29:00.000Z,,,,,,
case_3,T_CalcTemp,2026-02-09T12:30:00.000Z,,,,,,3
case_3,T_SetA,2026-02-09T12:31:00.000Z,2,,,,,
case_3,T_SetB,2026-02-09T12:32:00.000Z,,3,,,,
case_3,T_IncI,2026-02-09T12:33:00.000Z,,,4,,,
case_3,T_CheckLoop,2026-02-09T12:34:00.000Z,,,,,,
case_3,T_CalcTemp,2026-02-09T12:35:00.000Z,,,,,,5
case_3,T_SetA,2026-02-09T12:36:00.000Z,3,,,,,
case_3,T_SetB,2026-02-09T12:37:00.000Z,,5,,,,
case_3,T_IncI,2026-02-09T12:38:00.000Z,,,5,,,
case_3,T_CheckLoop,2026-02-09T12:39:00.000Z,,,,,,
case_3,T_CalcTemp,2026-02-09T12:40:00.000Z,,,,,,8
case_3,T_SetA,2026-02-09T12:41:00.000Z,5,,,,,
case_3,T_SetB,2026-02-09T12:42:00.000Z,,8,,,,
case_3,T_IncI,2026-02-09T12:43:00.000Z,,,6,,,
case_3,T_CheckLoop,2026-02-09T12:44:00.000Z,,,,,,
case_3,T_CalcTemp,2026-02-09T12:45:00.000Z,,,,,,13
case_3,T_SetA,2026-02-09T12:46:00.000Z,8,,,,,
case_3,T_SetB,2026-02-09T12:47:00.000Z,,13,,,,
case_3,T_IncI,2026-02-09T12:48:00.000Z,,,7,,,
case_3,T_CheckDone,2026-02-09T12:49:00.000Z,,,,,13,
case_4,T_Setup,2026-02-09T12:51:00.000Z,0,1,1,7,0,0
case_4,T_CheckLoop,2026-02-09T12:52:00.000Z,,,,,,
case_4,T_CalcTemp,2026-02-09T12:53:00.000Z,,,,,,1
case_4,T_SetA,2026-02-09T12:54:00.000Z,1,,,,,
case_4,T_SetB,2026-02-09T12:55:00.000Z,,,,,,
case_4,T_IncI,2026-02-09T12:56:00.000Z,,,2,,,
case_4,T_CheckLoop,2026-02-09T12:57:00.000Z,,,,,,
case_4,T_CalcTemp,2026-02-09T12:58:00.000Z,,,,,,2
case_4,T_SetA,2026-02-09T12:59:00.000Z,,,,,,
case_4,T_SetB,2026-02-09T13:00:00.000Z,,2,,,,
case_4,T_IncI,2026-02-09T13:01:00.000Z,,,3,,,
case_4,T_CheckLoop,2026-02-09T13:02:00.000Z,,,,,,
case_4,T_CalcTemp,2026-02-09T13:03:00.000Z,,,,,,3
case_4,T_SetA,2026-02-09T13:04:00.000Z,2,,,,,
case_4,T_SetB,2026-02-09T13:05:00.000Z,,3,,,,
case_4,T_IncI,2026-02-09T13:06:00.000Z,,,4,,,
case_4,T_CheckLoop,2026-02-09T13:07:00.000Z,,,,,,
case_4,T_CalcTemp,2026-02-09T13:08:00.000Z,,,,,,5
case_4,T_SetA,2026-02-09T13:09:00.000Z,3,,,,,
case_4,T_SetB,2026-02-09T13:10:00.000Z,,5,,,,
case_4,T_IncI,2026-02-09T13:11:00.000Z,,,5,,,
case_4,T_CheckLoop,2026-02-09T13:12:00.000Z,,,,,,
case_4,T_CalcTemp,2026-02-09T13:13:00.000Z,,,,,,8
case_4,T_SetA,2026-02-09T13:14:00.000Z,5,,,,,
case_4,T_SetB,2026-02-09T13:15:00.000Z,,8,,,,
case_4,T_IncI,2026-02-09T13:16:00.000Z,,,6,,,
case_4,T_CheckLoop,2026-02-09T13:17:00.000Z,,,,,,
case_4,T_CalcTemp,2026-02-09T13:18:00.000Z,,,,,,13
case_4,T_SetA,2026-02-09T13:19:00.000Z,8,,,,,
case_4,T_SetB,2026-02-09T13:20:00.000Z,,13,,,,
case_4,T_IncI,2026-02-09T13:21:00.000Z,,,7,,,
case_4,T_CheckDone,2026-02-09T13:22:00.000Z,,,,,13,
case_5,T_Setup,2026-02-09T13:24:00.000Z,0,1,1,7,0,0
case_5,T_CheckLoop,2026-02-09T13:25:00.000Z,,,,,,
case_5,T_CalcTemp,2026-02-09T13:26:00.000Z,,,,,,1
case_5,T_SetA,2026-02-09T13:27:00.000Z,1,,,,,
case_5,T_SetB,2026-02-09T13:28:00.000Z,,,,,,
case_5,T_IncI,2026-02-09T13:29:00.000Z,,,2,,,
case_5,T_CheckLoop,2026-02-09T13:30:00.000Z,,,,,,
case_5,T_CalcTemp,2026-02-09T13:31:00.000Z,,,,,,2
case_5,T_SetA,2026-02-09T13:32:00.000Z,,,,,,
case_5,T_SetB,2026-02-09T13:33:00.000Z,,2,,,,
case_5,T_IncI,2026-02-09T13:34:00.000Z,,,3,,,
case_5,T_CheckLoop,2026-02-09T13:35:00.000Z,,,,,,
case_5,T_CalcTemp,2026-02-09T13:36:00.000Z,,,,,,3
case_5,T_SetA,2026-02-09T13:37:00.000Z,2,,,,,
case_5,T_SetB,2026-02-09T13:38:00.000Z,,3,,,,
case_5,T_IncI,2026-02-09T13:39:00.000Z,,,4,,,
case_5,T_CheckLoop,2026-02-09T13:40:00.000Z,,,,,,
case_5,T_CalcTemp,2026-02-09T13:41:00.000Z,,,,,,5
case_5,T_SetA,2026-02-09T13:42:00.000Z,3,,,,,
case_5,T_SetB,2026-02-09T13:43:00.000Z,,5,,,,
case_5,T_IncI,2026-02-09T13:44:00.000Z,,,5,,,
case_5,T_CheckLoop,2026-02-09T13:45:00.000Z,,,,,,
case_5,T_CalcTemp,2026-02-09T13:46:00.000Z,,,,,,8
case_5,T_SetA,2026-02-09T13:47:00.000Z,5,,,,,
case_5,T_SetB,2026-02-09T13:48:00.000Z,,8,,,,
case_5,T_IncI,2026-02-09T13:49:00.000Z,,,6,,,
case_5,T_CheckLoop,2026-02-09T13:50:00.000Z,,,,,,
case_5,T_CalcTemp,2026-02-09T13:51:00.000Z,,,,,,13
case_5,T_SetA,2026-02-09T13:52:00.000Z,8,,,,,
case_5,T_SetB,2026-02-09T13:53:00.000Z,,13,,,,
case_5,T_IncI,2026-02-09T13:54:00.000Z,,,7,,,
case_5,T_CheckDone,2026-02-09T13:55:00.000Z,,,,,13,
case_6,T_Setup,2026-02-09T13:57:00.000Z,0,1,1,7,0,0
case_6,T_CheckLoop,2026-02-09T13:58:00.000Z,,,,,,
case_6,T_CalcTemp,2026-02-09T13:59:00.000Z,,,,,,1
case_6,T_SetA,2026-02-09T14:00:00.000Z,1,,,,,
case_6,T_SetB,2026-02-09T14:01:00.000Z,,,,,,
case_6,T_IncI,2026-02-09T14:02:00.000Z,,,2,,,
case_6,T_CheckLoop,2026-02-09T14:03:00.000Z,,,,,,
case_6,T_CalcTemp,2026-02-09T14:04:00.000Z,,,,,,2
case_6,T_SetA,2026-02-09T14:05:00.000Z,,,,,,
case_6,T_SetB,2026-02-09T14:06:00.000Z,,2,,,,
case_6,T_IncI,2026-02-09T14:07:00.000Z,,,3,,,
case_6,T_CheckLoop,2026-02-09T14:08:00.000Z,,,,,,
case_6,T_CalcTemp,2026-02-09T14:09:00.000Z,,,,,,3
case_6,T_SetA,2026-02-09T14:10:00.000Z,2,,,,,
case_6,T_SetB,2026-02-09T14:11:00.000Z,,3,,,,
case_6,T_IncI,2026-02-09T14:12:00.000Z,,,4,,,
case_6,T_CheckLoop,2026-02-09T14:13:00.000Z,,,,,,
case_6,T_CalcTemp,2026-02-09T14:14:00.000Z,,,,,,5
case_6,T_SetA,2026-02-09T14:15:00.000Z,3,,,,,
case_6,T_SetB,2026-02-09T14:16:00.000Z,,5,,,,
case_6,T_IncI,2026-02-09T14:17:00.000Z,,,5,,,
case_6,T_CheckLoop,2026-02-09T14:18:00.000Z,,,,,,
case_6,T_CalcTemp,2026-02-09T14:19:00.000Z,,,,,,8
case_6,T_SetA,2026-02-09T14:20:00.000Z,5,,,,,
case_6,T_SetB,2026-02-09T14:21:00.000Z,,8,,,,
case_6,T_IncI,2026-02-09T14:22:00.000Z,,,6,,,
case_6,T_CheckLoop,2026-02-09T14:23:00.000Z,,,,,,
case_6,T_CalcTemp,2026-02-09T14:24:00.000Z,,,,,,13
case_6,T_SetA,2026-02-09T14:25:00.000Z,8,,,,,
case_6,T_SetB,2026-02-09T14:26:00.000Z,,13,,,,
case_6,T_IncI,2026-02-09T14:27:00.000Z,,,7,,,
case_6,T_CheckDone,2026-02-09T14:28:00.000Z,,,,,13,
case_7,T_Setup,2026-02-09T14:30:00.000Z,0,1,1,7,0,0
case_7,T_CheckLoop,2026-02-09T14:31:00.000Z,,,,,,
case_7,T_CalcTemp,2026-02-09T14:32:00.000Z,,,,,,1
case_7,T_SetA,2026-02-09T14:33:00.000Z,1,,,,,
case_7,T_SetB,2026-02-09T14:34:00.000Z,,,,,,
case_7,T_IncI,2026-02-09T14:35:00.000Z,,,2,,,
case_7,T_CheckLoop,2026-02-09T14:36:00.000Z,,,,,,
case_7,T_CalcTemp,2026-02-09T14:37:00.000Z,,,,,,2
case_7,T_SetA,2026-02-09T14:38:00.000Z,,,,,,
case_7,T_SetB,2026-02-09T14:39:00.000Z,,2,,,,
case_7,T_IncI,2026-02-09T14:40:00.000Z,,,3,,,
case_7,T_CheckLoop,2026-02-09T14:41:00.000Z,,,,,,
case_7,T_CalcTemp,2026-02-09T14:42:00.000Z,,,,,,3
case_7,T_SetA,2026-02-09T14:43:00.000Z,2,,,,,
case_7,T_SetB,2026-02-09T14:44:00.000Z,,3,,,,
case_7,T_IncI,2026-02-09T14:45:00.000Z,,,4,,,
case_7,T_CheckLoop,2026-02-09T14:46:00.000Z,,,,,,
case_7,T_CalcTemp,2026-02-09T14:47:00.000Z,,,,,,5
case_7,T_SetA,2026-02-09T14:48:00.000Z,3,,,,,
case_7,T_SetB,2026-02-09T14:49:00.000Z,,5,,,,
case_7,T_IncI,2026-02-09T14:50:00.000Z,,,5,,,
case_7,T_CheckLoop,2026-02-09T14:51:00.000Z,,,,,,
case_7,T_CalcTemp,2026-02-09T14:52:00.000Z,,,,,,8
case_7,T_SetA,2026-02-09T14:53:00.000Z,5,,,,,
case_7,T_SetB,2026-02-09T14:54:00.000Z,,8,,,,
case_7,T_IncI,2026-02-09T14:55:00.000Z,,,6,,,
case_7,T_CheckLoop,2026-02-09T14:56:00.000Z,,,,,,
case_7,T_CalcTemp,2026-02-09T14:57:00.000Z,,,,,,13
case_7,T_SetA,2026-02-09T14:58:00.000Z,8,,,,,
case_7,T_SetB,2026-02-09T14:59:00.000Z,,13,,,,
case_7,T_IncI,2026-02-09T15:00:00.000Z,,,7,,,
case_7,T_CheckDone,2026-02-09T15:01:00.000Z,,,,,13,
case_8,T_Setup,2026-02-09T15:03:00.000Z,0,1,1,7,0,0
case_8,T_CheckLoop,2026-02-09T15:04:00.000Z,,,,,,
case_8,T_CalcTemp,2026-02-09T15:05:00.000Z,,,,,,1
case_8,T_SetA,2026-02-09T15:06:00.000Z,1,,,,,
case_8,T_SetB,2026-02-09T15:07:00.000Z,,,,,,
case_8,T_IncI,2026-02-09T15:08:00.000Z,,,2,,,
case_8,T_CheckLoop,2026-02-09T15:09:00.000Z,,,,,,
case_8,T_CalcTemp,2026-02-09T15:10:00.000Z,,,,,,2
case_8,T_SetA,2026-02-09T15:11:00.000Z,,,,,,
case_8,T_SetB,2026-02-09T15:12:00.000Z,,2,,,,
case_8,T_IncI,2026-02-09T15:13:00.000Z,,,3,,,
case_8,T_CheckLoop,2026-02-09T15:14:00.000Z,,,,,,
case_8,T_CalcTemp,2026-02-09T15:15:00.000Z,,,,,,3
case_8,T_SetA,2026-02-09T15:16:00.000Z,2,,,,,
case_8,T_SetB,2026-02-09T15:17:00.000Z,,3,,,,
case_8,T_IncI,2026-02-09T15:18:00.000Z,,,4,,,
case_8,T_CheckLoop,2026-02-09T15:19:00.000Z,,,,,,
case_8,T_CalcTemp,2026-02-09T15:20:00.000Z,,,,,,5
case_8,T_SetA,2026-02-09T15:21:00.000Z,3,,,,,
case_8,T_SetB,2026-02-09T15:22:00.000Z,,5,,,,
case_8,T_IncI,2026-02-09T15:23:00.000Z,,,5,,,
case_8,T_CheckLoop,2026-02-09T15:24:00.000Z,,,,,,
case_8,T_CalcTemp,2026-02-09T15:25:00.000Z,,,,,,8
case_8,T_SetA,2026-02-09T15:26:00.000Z,5,,,,,
case_8,T_SetB,2026-02-09T15:27:00.000Z,,8,,,,
case_8,T_IncI,2026-02-09T15:28:00.000Z,,,6,,,
case_8,T_CheckLoop,2026-02-09T15:29:00.000Z,,,,,,
case_8,T_CalcTemp,2026-02-09T15:30:00.000Z,,,,,,13
case_8,T_SetA,2026-02-09T15:31:00.000Z,8,,,,,
case_8,T_SetB,2026-02-09T15:32:00.000Z,,13,,,,
case_8,T_IncI,2026-02-09T15:33:00.000Z,,,7,,,
case_8,T_CheckDone,2026-02-09T15:34:00.000Z,,,,,13,
case_9,T_Setup,2026-02-09T15:36:00.000Z,0,1,1,7,0,0
case_9,T_CheckLoop,2026-02-09T15:37:00.000Z,,,,,,
case_9,T_CalcTemp,2026-02-09T15:38:00.000Z,,,,,,1
case_9,T_SetA,2026-02-09T15:39:00.000Z,1,,,,,
case_9,T_SetB,2026-02-09T15:40:00.000Z,,,,,,
case_9,T_IncI,2026-02-09T15:41:00.000Z,,,2,,,
case_9,T_CheckLoop,2026-02-09T15:42:00.000Z,,,,,,
case_9,T_CalcTemp,2026-02-09T15:43:00.000Z,,,,,,2
case_9,T_SetA,2026-02-09T15:44:00.000Z,,,,,,
case_9,T_SetB,2026-02-09T15:45:00.000Z,,2,,,,
case_9,T_IncI,2026-02-09T15:46:00.000Z,,,3,,,
case_9,T_CheckLoop,2026-02-09T15:47:00.000Z,,,,,,
case_9,T_CalcTemp,2026-02-09T15:48:00.000Z,,,,,,3
case_9,T_SetA,2026-02-09T15:49:00.000Z,2,,,,,
case_9,T_SetB,2026-02-09T15:50:00.000Z,,3,,,,
case_9,T_IncI,2026-02-09T15:51:00.000Z,,,4,,,
case_9,T_CheckLoop,2026-02-09T15:52:00.000Z,,,,,,
case_9,T_CalcTemp,2026-02-09T15:53:00.000Z,,,,,,5
case_9,T_SetA,2026-02-09T15:54:00.000Z,3,,,,,
case_9,T_SetB,2026-02-09T15:55:00.000Z,,5,,,,
case_9,T_IncI,2026-02-09T15:56:00.000Z,,,5,,,
case_9,T_CheckLoop,2026-02-09T15:57:00.000Z,,,,,,
case_9,T_CalcTemp,2026-02-09T15:58:00.000Z,,,,,,8
case_9,T_SetA,2026-02-09T15:59:00.000Z,5,,,,,
case_9,T_SetB,2026-02-09T16:00:00.000Z,,8,,,,
case_9,T_IncI,2026-02-09T16:01:00.000Z,,,6,,,
case_9,T_CheckLoop,2026-02-09T16:02:00.000Z,,,,,,
case_9,T_CalcTemp,2026-02-09T16:03:00.000Z,,,,,,13
case_9,T_SetA,2026-02-09T16:04:00.000Z,8,,,,,
case_9,T_SetB,2026-02-09T16:05:00.000Z,,13,,,,
case_9,T_IncI,2026-02-09T16:06:00.000Z,,,7,,,
case_9,T_CheckDone,2026-02-09T16:07:00.000Z,,,,,13,
case_10,T_Setup,2026-02-09T16:09:00.000Z,0,1,1,7,0,0
case_10,T_CheckLoop,2026-02-09T16:10:00.000Z,,,,,,
case_10,T_CalcTemp,2026-02-09T16:11:00.000Z,,,,,,1
case_10,T_SetA,2026-02-09T16:12:00.000Z,1,,,,,
case_10,T_SetB,2026-02-09T16:13:00.000Z,,,,,,
case_10,T_IncI,2026-02-09T16:14:00.000Z,,,2,,,
case_10,T_CheckLoop,2026-02-09T16:15:00.000Z,,,,,,
case_10,T_CalcTemp,2026-02-09T16:16:00.000Z,,,,,,2
case_10,T_SetA,2026-02-09T16:17:00.000Z,,,,,,
case_10,T_SetB,2026-02-09T16:18:00.000Z,,2,,,,
case_10,T_IncI,2026-02-09T16:19:00.000Z,,,3,,,
case_10,T_CheckLoop,2026-02-09T16:20:00.000Z,,,,,,
case_10,T_CalcTemp,2026-02-09T16:21:00.000Z,,,,,,3
case_10,T_SetA,2026-02-09T16:22:00.000Z,2,,,,,
case_10,T_SetB,2026-02-09T16:23:00.000Z,,3,,,,
case_10,T_IncI,2026-02-09T16:24:00.000Z,,,4,,,
case_10,T_CheckLoop,2026-02-09T16:25:00.000Z,,,,,,
case_10,T_CalcTemp,2026-02-09T16:26:00.000Z,,,,,,5
case_10,T_SetA,2026-02-09T16:27:00.000Z,3,,,,,
case_10,T_SetB,2026-02-09T16:28:00.000Z,,5,,,,
case_10,T_IncI,2026-02-09T16:29:00.000Z,,,5,,,
case_10,T_CheckLoop,2026-02-09T16:30:00.000Z,,,,,,
case_10,T_CalcTemp,2026-02-09T16:31:00.000Z,,,,,,8
case_10,T_SetA,2026-02-09T16:32:00.000Z,5,,,,,
case_10,T_SetB,2026-02-09T16:33:00.000Z,,8,,,,
case_10,T_IncI,2026-02-09T16:34:00.000Z,,,6,,,
case_10,T_CheckLoop,2026-02-09T16:35:00.000Z,,,,,,
case_10,T_CalcTemp,2026-02-09T16:36:00.000Z,,,,,,13
case_10,T_SetA,2026-02-09T16:37:00.000Z,8,,,,,
case_10,T_SetB,2026-02-09T16:38:00.000Z,,13,,,,
case_10,T_IncI,2026-02-09T16:39:00.000Z,,,7,,,
case_10,T_CheckDone,2026-02-09T16:40:00.000Z,,,,,13,
case_11,T_Setup,2026-02-09T16:42:00.000Z,0,1,1,7,0,0
case_11,T_CheckLoop,2026-02-09T16:43:00.000Z,,,,,,
case_11,T_CalcTemp,2026-02-09T16:44:00.000Z,,,,,,1
case_11,T_SetA,2026-02-09T16:45:00.000Z,1,,,,,
case_11,T_SetB,2026-02-09T16:46:00.000Z,,,,,,
case_11,T_IncI,2026-02-09T16:47:00.000Z,,,2,,,
case_11,T_CheckLoop,2026-02-09T16:48:00.000Z,,,,,,
case_11,T_CalcTemp,2026-02-09T16:49:00.000Z,,,,,,2
case_11,T_SetA,2026-02-09T16:50:00.000Z,,,,,,
case_11,T_SetB,2026-02-09T16:51:00.000Z,,2,,,,
case_11,T_IncI,2026-02-09T16:52:00.000Z,,,3,,,
case_11,T_CheckLoop,2026-02-09T16:53:00.000Z,,,,,,
case_11,T_CalcTemp,2026-02-09T16:54:00.000Z,,,,,,3
case_11,T_SetA,2026-02-09T16:55:00.000Z,2,,,,,
case_11,T_SetB,2026-02-09T16:56:00.000Z,,3,,,,
case_11,T_IncI,2026-02-09T16:57:00.000Z,,,4,,,
case_11,T_CheckLoop,2026-02-09T16:58:00.000Z,,,,,,
case_11,T_CalcTemp,2026-02-09T16:59:00.000Z,,,,,,5
case_11,T_SetA,2026-02-09T17:00:00.000Z,3,,,,,
case_11,T_SetB,2026-02-09T17:01:00.000Z,,5,,,,
case_11,T_IncI,2026-02-09T17:02:00.000Z,,,5,,,
case_11,T_CheckLoop,2026-02-09T17:03:00.000Z,,,,,,
case_11,T_CalcTemp,2026-02-09T17:04:00.000Z,,,,,,8
case_11,T_SetA,2026-02-09T17:05:00.000Z,5,,,,,
case_11,T_SetB,2026-02-09T17:06:00.000Z,,8,,,,
case_11,T_IncI,2026-02-09T17:07:00.000Z,,,6,,,
case_11,T_CheckLoop,2026-02-09T17:08:00.000Z,,,,,,
case_11,T_CalcTemp,2026-02-09T17:09:00.000Z,,,,,,13
case_11,T_SetA,2026-02-09T17:10:00.000Z,8,,,,,
case_11,T_SetB,2026-02-09T17:11:00.000Z,,13,,,,
case_11,T_IncI,2026-02-09T17:12:00.000Z,,,7,,,
case_11,T_CheckDone,2026-02-09T17:13:00.000Z,,,,,13,
case_12,T_Setup,2026-02-09T17:15:00.000Z,0,1,1,7,0,0
case_12,T_CheckLoop,2026-02-09T17:16:00.000Z,,,,,,
case_12,T_CalcTemp,2026-02-09T17:17:00.000Z,,,,,,1
case_12,T_SetA,2026-02-09T17:18:00.000Z,1,,,,,
case_12,T_SetB,2026-02-09T17:19:00.000Z,,,,,,
case_12,T_IncI,2026-02-09T17:20:00.000Z,,,2,,,
case_12,T_CheckLoop,2026-02-09T17:21:00.000Z,,,,,,
case_12,T_CalcTemp,2026-02-09T17:22:00.000Z,,,,,,2
case_12,T_SetA,2026-02-09T17:23:00.000Z,,,,,,
case_12,T_SetB,2026-02-09T17:24:00.000Z,,2,,,,
case_12,T_IncI,2026-02-09T17:25:00.000Z,,,3,,,
case_12,T_CheckLoop,2026-02-09T17:26:00.000Z,,,,,,
case_12,T_CalcTemp,2026-02-09T17:27:00.000Z,,,,,,3
case_12,T_SetA,2026-02-09T17:28:00.000Z,2,,,,,
case_12,T_SetB,2026-02-09T17:29:00.000Z,,3,,,,
case_12,T_IncI,2026-02-09T17:30:00.000Z,,,4,,,
case_12,T_CheckLoop,2026-02-09T17:31:00.000Z,,,,,,
case_12,T_CalcTemp,2026-02-09T17:32:00.000Z,,,,,,5
case_12,T_SetA,2026-02-09T17:33:00.000Z,3,,,,,
case_12,T_SetB,2026-02-09T17:34:00.000Z,,5,,,,
case_12,T_IncI,2026-02-09T17:35:00.000Z,,,5,,,
case_12,T_CheckLoop,2026-02-09T17:36:00.000Z,,,,,,
case_12,T_CalcTemp,2026-02-09T17:37:00.000Z,,,,,,8
case_12,T_SetA,2026-02-09T17:38:00.000Z,5,,,,,
case_12,T_SetB,2026-02-09T17:39:00.000Z,,8,,,,
case_12,T_IncI,2026-02-09T17:40:00.000Z,,,6,,,
case_12,T_CheckLoop,2026-02-09T17:41:00.000Z,,,,,,
case_12,T_CalcTemp,2026-02-09T17:42:00.000Z,,,,,,13
case_12,T_SetA,2026-02-09T17:43:00.000Z,8,,,,,
case_12,T_SetB,2026-02-09T17:44:00.000Z,,13,,,,
case_12,T_IncI,2026-02-09T17:45:00.000Z,,,7,,,
case_12,T_CheckDone,2026-02-09T17:46:00.000Z,,,,,13,
case_13,T_Setup,2026-02-09T17:48:00.000Z,0,1,1,7,0,0
case_13,T_CheckLoop,2026-02-09T17:49:00.000Z,,,,,,
case_13,T_CalcTemp,2026-02-09T17:50:00.000Z,,,,,,1
case_13,T_SetA,2026-02-09T17:51:00.000Z,1,,,,,
case_13,T_SetB,2026-02-09T17:52:00.000Z,,,,,,
case_13,T_IncI,2026-02-09T17:53:00.000Z,,,2,,,
case_13,T_CheckLoop,2026-02-09T17:54:00.000Z,,,,,,
case_13,T_CalcTemp,2026-02-09T17:55:00.000Z,,,,,,2
case_13,T_SetA,2026-02-09T17:56:00.000Z,,,,,,
case_13,T_SetB,2026-02-09T17:57:00.000Z,,2,,,,
case_13,T_IncI,2026-02-09T17:58:00.000Z,,,3,,,
case_13,T_CheckLoop,2026-02-09T17:59:00.000Z,,,,,,
case_13,T_CalcTemp,2026-02-09T18:00:00.000Z,,,,,,3
